titular_de_registro;empresa_pais_tipo;empresa_estado;empresa_pais_mencionado;tipo_empresa
Koppert do Brasil Holding S.A. - Piracicaba/SP;(Koppert do Brasil Holding S.A. - Piracicaba/SP <BRASIL>FORMULADOR) +  (Koppert do Brasil Holding S.A. - Piracicaba/SP <BRASIL>MANIPULADOR) +  (Koppert do Brasil Holding Ltda.- Charqueada/SP<BRASIL>FORMULADOR) +  (Koppert do Brasil Holding Ltda.- Charqueada/SP<BRASIL>MANIPULADOR) +  (Koppert do Brasil Macrobiologicos Ltda  Charqueada/SP<BRASIL>FORMULADOR) +  (Koppert do Brasil Macrobiologicos Ltda  Charqueada/SP<BRASIL>MANIPULADOR) +  (Koppert BV - Holanda<PAÍSES BAIXOS, HOLANDA>FORMULADOR) +  (Koppert Biological Systems, Inc.<ESTADOS UNIDOS>FORMULADOR) +  (Koppert (Beijing) Agriculture Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Koppert México S.A. de C.V.<MÉXICO>FORMULADOR) +  (Koppert Africa do Sul<ÁFRICA DO SUL>FORMULADOR) +  (Nitrasoil - Buenos Aires  Argentina<ARGENTINA>FORMULADOR);SP;BRASIL;Com presença internacional
Koppert do Brasil Holding S.A. - Piracicaba/SP;(Koppert do Brasil Holding S.A. - Piracicaba/SP <BRASIL>FORMULADOR) +  (Koppert do Brasil Holding Ltda.- Charqueada/SP<BRASIL>FORMULADOR) +  (Koppert do Brasil Macrobiologicos Ltda  Charqueada/SP<BRASIL>FORMULADOR) +  (Koppert BV - Holanda<PAÍSES BAIXOS, HOLANDA>FORMULADOR) +  (Koppert (Beijing) Agriculture Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Koppert Biological Systems, Inc.<ESTADOS UNIDOS>FORMULADOR) +  (Koppert México S.A. de C.V.<MÉXICO>FORMULADOR) +  (Koppert Africa do Sul<ÁFRICA DO SUL>FORMULADOR) +  (Nitrasoil - Buenos Aires  Argentina<ARGENTINA>FORMULADOR) +  (Koppert do Brasil Holding S.A. - Piracicaba/SP <BRASIL>MANIPULADOR) +  (Koppert do Brasil Holding Ltda.- Charqueada/SP<BRASIL>MANIPULADOR) +  (Koppert do Brasil Macrobiologicos Ltda  Charqueada/SP<BRASIL>MANIPULADOR);SP;BRASIL;Com presença internacional
Bem Brasil Alimentos S/A.  Perdizes/MG;(Sinochem Hebei Fuheng Co., Ltd. - Hebei<CHINA, REPUBLICA POPULAR>FORMULADOR);;CHINA, REPUBLICA POPULAR;Com presença internacional
CCAB Agro S.A.   São Paulo;(Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (ZheJiang Funong Biotech Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Yongnong Biosciences Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Agromol Biotech Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Agroallianz S.A<BRASIL>IMPORTADOR) +  (Vision Fluorochem (Nanjing) Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Avilive Chemical Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Henan Jinpeng Chemicals Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Inner Mongolia Yongtai Chemical Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR);;BRASIL;Com presença internacional
CAC Quimica do Brasil Ltda;(Jiangxi Tianyu Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>MANIPULADOR) +  (Jiangsu Jinjiahui Biotech Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Chemical Solution Pará Ltda <BRASIL>IMPORTADOR) +  (Chemical Solution Para Ltda. - Maceió/AL<BRASIL>IMPORTADOR) +  (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Fiagril Ltda.  Lucas do Rio Verde/MT<BRASIL>IMPORTADOR) +  (NGC Agrosciences Brasil Ltda - Botucatu/SP<BRASIL>IMPORTADOR) +  (RB Dantas & Cia Ltda -  Arapiraca/AL<BRASIL>IMPORTADOR) +  (Goplan S/A - Campinas<BRASIL>IMPORTADOR) +  (Willowood Agriscience Representação Comercial Ltda  Campinas/SP<BRASIL>IMPORTADOR) +  (Agroquima Produtos Agropecuários Ltda - Goiânia/GO<BRASIL>IMPORTADOR) +  (RANCHO ALEGRE PRODUTOS AGROPECUÁRIOS LTDA (Filial)<BRASIL>IMPORTADOR) +  (RANCHO ALEGRE PRODUTOS AGROPECUARIOS LTDA- (Matriz)<BRASIL>IMPORTADOR) +  (ALTA América Latina Tecnologia Agrícola Ltda - Carazinho/RS<BRASIL>IMPORTADOR) +  (Alta - América Latina Tecnologia - Paulínia/SP<BRASIL>IMPORTADOR) +  (Alta América Latina Tecnologia Agrícola Ltda - Filial Aparecida de Goiânia/GO<BRASIL>IMPORTADOR) +  (ALTA - America Latina Tecnologia Agrícola Ltda. - Filial Passo Fundo<BRASIL>IMPORTADOR) +  (ALTA - America Latina Tecnologia Agricola Ltda. - Filial Cuiabá<BRASIL>IMPORTADOR) +  (ALTA - America Latina Tecnologia Agrícola Ltda. - Filial Ibiporã<BRASIL>IMPORTADOR) +  (ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba<BRASIL>IMPORTADOR);SP;CHINA, REPUBLICA POPULAR;Com presença internacional
Inovatis Agronegocios Importação e Exportação Ltda.;(CHDS Agrochemicals S.A.I.C.<PARAGUAI>FORMULADOR) +  (Lanlix Cropscience Co. Ltd.<TAIWAN (ILHA FORMOSA)>FORMULADOR) +  (Shreeji Pesticides Pvt. Ltd. - Gujarat<ÍNDIA>FORMULADOR) +  (Tecnomyl S.A. - Villeta<PARAGUAI>FORMULADOR) +  (Fersol Indústria e Comércio S.A. - EM RECUPERACAO JUDICIAL<BRASIL>MANIPULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>MANIPULADOR) +  (Nortox S.A. - Arapongas<BRASIL>MANIPULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>MANIPULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>MANIPULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>MANIPULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Fabrica Ituverava/SP<BRASIL>MANIPULADOR) +  (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Agro Import do Brasil Ltda. - Porto Alegre/RS<BRASIL>IMPORTADOR) +  (Agro Import do Brasil Ltda. - Filial Carazinho<BRASIL>IMPORTADOR) +  (Agro Import do Brasil Ltda. - Filial Ibiporã<BRASIL>IMPORTADOR) +  (Agro Import do Brasil Ltda. - Filial Barueri<BRASIL>IMPORTADOR) +  (Agro Import do Brasil Ltda. - Filial Rondonopolis<BRASIL>IMPORTADOR) +  (Casa Rural de Ortigueira Ltda - Pitanga/PR<BRASIL>IMPORTADOR) +  (Casa Rural de Ortigueira Ltda - Ortigueira/PR<BRASIL>IMPORTADOR);SP;PARAGUAI;Com presença internacional
Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;(Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE<BRASIL>FORMULADOR) +  (Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE<BRASIL>FORMULADOR);CE;CHINA, REPUBLICA POPULAR;Com presença internacional
Crotect Crop Science Ltda - São Paulo/SP;(Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Atanor S.C.A  - San Nicolas - Buenos Aires<ARGENTINA>FORMULADOR) +  (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Meghmani Industries Ltd. (Unit-III) - Dahej <ÍNDIA>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Atul Limited<ÍNDIA>FORMULADOR) +  (Jiangxi Tianyu Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Sinon do Brasil Ltda. - Filial Passo Fundo/RS<BRASIL>IMPORTADOR) +  (Sinon do Brasil Ltda. - Porto Alegre /RS.<BRASIL>IMPORTADOR) +  (Changzhou Wintafone Chemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jingma Chemicals Co., Ltd. - Zhejiang<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Zhongshan Chemical Industry Group Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhongshan Química do Brasil - Sorocaba/SP<BRASIL>IMPORTADOR) +  (Sinon do Brasil Ltda. - Filial Sumaré/SP<BRASIL>IMPORTADOR) +  (Sinon do Brasil Ltda. - Filial Mariópolis/PR<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasil - Aparecida de Goiânia/GO<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasi- Carazinho/RS<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasi-  Cuiabá/MT<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasi- Ibiporã/PR <BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasil Ltda -  Luis Eduardo Magalhães/BA<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasil - Paulínia/SP<BRASIL>IMPORTADOR) +  (DKBR Trading S.A.  - Londrina<BRASIL>IMPORTADOR) +  (DKBR Trading S.A. - São Paulo/SP<BRASIL>IMPORTADOR) +  (Sinon do Brasil Ltda. - Filial Uberaba/MG<BRASIL>IMPORTADOR) +  (Bocchi E Fabian Ltda - Sorriso-MT<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil S.A. - Aparecida de Goiânia/GO<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil S.A.  Cuiabá/MT<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil S.A.  São Paulo/SP<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Filial Cuiaba/MT<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Filial Cerejeiras/RO<BRASIL>IMPORTADOR) +  (Chizhou Bioagriland Multichem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Fiagril Ltda.  Lucas do Rio Verde/MT<BRASIL>IMPORTADOR) +  (Henan Jinpeng Chemicals Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Solus do Brasil Ltda. - Apucarana/PR- Parque Industrial <BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda. - Carazinho<BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda - Nova Mutum<BRASIL>IMPORTADOR) +  (Agricola Alvorada S.A. - Primavera do Leste/MT (Parque industrial)<BRASIL>IMPORTADOR) +  (DKBR Trading S.A.  - Londrina<BRASIL>IMPORTADOR) +  (DKBR Trading S.A.  Cuiaba<BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda - Apucarana/PR<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Sorriso/ MT<BRASIL>IMPORTADOR) +  (Pilarquim (Shanghai) Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Somax Agro do Brasil Ltda - Foz do Iguaçu/PR<BRASIL>IMPORTADOR) +  (Ningxia Wynca Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Xinan Chemical Industrial Group Co., Ltd - Jiande City<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Produtécnica Nordeste Comercio De Insumos Agrícolas Ltda -  Balsas/MA <BRASIL>IMPORTADOR) +  (Produtécnica Nordeste Comercio De Insumos Agrícolas Ltda - Bom Jesus/PI<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Matriz Cuiaba/MT<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Filial Boa Vista/RR <BRASIL>IMPORTADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (AMAGGI EXPORTAÇÃO E IMPORTAÇÃO LTDA - Paragominas<BRASIL>IMPORTADOR) +  (Agrilean Inputs S.A. - Barueri/SP<BRASIL>IMPORTADOR) +  (Green Place Comércio e Distribuição Ltda.<BRASIL>IMPORTADOR) +  (Green Place Comércio e Distribuição Ltda. - Ibiporã/PR<BRASIL>IMPORTADOR) +  (ZheJiang Rayfull Chemicals C;PR;BRASIL;Com presença internacional
Perterra Insumos Agropecuários S.A.  São Paulo/SP;(Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>MANIPULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>MANIPULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (Arcad Industrialização Química Ltda - Paulínia/SP<BRASIL>FORMULADOR);SP;CHINA, REPUBLICA POPULAR;Com presença internacional
Suno Agrotech Ltda.;(Dinagro Agropecuária Ltda.<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FORMULADOR) +  (Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Indaiatuba/SP<BRASIL>FORMULADOR) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (Chemical Solution Pará Ltda <BRASIL>IMPORTADOR) +  (Chemical Solution Para Ltda. - Maceió/AL<BRASIL>IMPORTADOR) +  (Weihai Hanfu Biochemical Medicine Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Chemical Solution Pará Ltda <BRASIL>IMPORTADOR) +  (Chemical Solution Para Ltda. - Maceió/AL<BRASIL>IMPORTADOR);PR;BRASIL;Com presença internacional
