nr_registro;marca_comercial;formulacao;ingrediente_ativo;titular_de_registro;classe;modo_de_acao;classe_toxicologica;classe_ambiental;organicos;situacao
35523;KBR-829M1-02;Nematóides vivos;Heterorhabditis bacteriophora (Nematóides entomopatogênicos) (840 g/kg);Koppert do Brasil Holding S.A. - Piracicaba/SP;Agente Biológico de Controle;Não informado;Não Classificado - Produto Não Classificado;Produto Pouco Perigoso ao Meio Ambiente;NAO;True
33723;KBR-S39M1-02;Nematóides vivos;Steinernema carpocapsae (Nematóides entomopatogênicos) (840 grama);Koppert do Brasil Holding S.A. - Piracicaba/SP;Agente Biológico de Controle;Não informado;Não Classificado - Produto Não Classificado;Produto Pouco Perigoso ao Meio Ambiente;NAO;True
17622;1,4 Sight;HN - Concentrado Termo Nebulizável;1,4 Dimetilnaftaleno (hidrocarbonetos aromáticos) (997.7 g/L);Bem Brasil Alimentos S/A.  Perdizes/MG;Regulador de Crescimento;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Pouco Perigoso ao Meio Ambiente;NAO;True
31918;2,4-D (240) + Picloram (64) SL;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (406 g/L) + picloram (ácido piridinocarboxílico) (103.6 g/L);CCAB Agro S.A.   São Paulo;Herbicida;sistêmico;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
13525;2,4-D + Picloram CAC;SL - Concentrado Solúvel;2,4-D-trietanolamina (ácido ariloxialcanóico) (402 g/L) + picloram-trietanolamina (ácido piridinocarboxílico) (103.6 g/L);CAC Quimica do Brasil Ltda;Herbicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
37825;2,4-D 240 + Picloram 64 Sino-Agri;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (411 g/L) + picloram (ácido piridinocarboxílico) (106.75 g/L);Inovatis Agronegocios Importação e Exportação Ltda.;Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
1215;2,4-D 806 RN;SL - Concentrado Solúvel;2,4-D-dimetilamina (ácido ariloxialcanóico) (806 g/L);Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Herbicida;sistêmico e seletivo;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;OUTROS;True
6715;"2,4-D 806 SL Alamos; 2,4-D 806 SL Crotect;";SL - Concentrado Solúvel;2,4-D-dimetilamina (ácido ariloxialcanóico) (806 g/L);Crotect Crop Science Ltda - São Paulo/SP;Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
2025;2,4-D 806 SL Perterra;SL - Concentrado Solúvel;2,4-D-dimetilamina (ácido ariloxialcanóico) (806 g/L);Perterra Insumos Agropecuários S.A.  São Paulo/SP;Herbicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
20524;2,4-D 806 SL TSC;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (806 g/L);Suno Agrotech Ltda.;Herbicida;Sistêmico/Seletivo;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
11824;2,4-D 806 SL ZHC;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (806 g/L);AllierBrasil Agro Ltda.;Herbicida;Sistêmico/Seletivo;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
56425;2,4-D A Nortox;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (596.9 g/L) + Aminopiralide (ácido piridiniloxialcanóico) (76.9 g/L);Nortox S.A. - Arapongas;Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
7508;2,4-D AGCN;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (806 g/L);Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP;Herbicida;Sistêmico e seletivo;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
44924;2,4-D Acid 866 SL;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (866 g/L);Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA;Herbicida;Seletivo e sistêmico;Extremamente Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
2801;2,4-D Agritec;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (867 g/L);Agritec Ind. Brasileira de Herbicidas Ltda.;Herbicida;Hormonal seletivo;Extremamente Tóxico;Produto Perigoso ao Meio Ambiente;OUTROS;True
