titular_de_registro;tipo_empresa
Koppert do Brasil Holding S.A. - Piracicaba/SP;Com presença internacional
Bem Brasil Alimentos S/A.  Perdizes/MG;Com presença internacional
CCAB Agro S.A.   São Paulo;Com presença internacional
CAC Quimica do Brasil Ltda;Com presença internacional
Inovatis Agronegocios Importação e Exportação Ltda.;Com presença internacional
Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Com presença internacional
Crotect Crop Science Ltda - São Paulo/SP;Com presença internacional
Perterra Insumos Agropecuários S.A.  São Paulo/SP;Com presença internacional
Suno Agrotech Ltda.;Com presença internacional
AllierBrasil Agro Ltda.;Com presença internacional
Nortox S.A. - Arapongas;Com presença internacional
Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP;Com presença internacional
Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA;Com presença internacional
Agritec Ind. Brasileira de Herbicidas Ltda.;Somente nacional
Agro Import do Brasil Ltda. - Porto Alegre/RS;Com presença internacional
CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR;Com presença internacional
Solus do Brasil Ltda. - Apucarana/PR- Parque Industrial;Com presença internacional
Copalliance S.A. - Campinas;Com presença internacional
Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu;Com presença internacional
Yonon Brasil Defensivos Agricolas Ltda;Com presença internacional
Adama Brasil S.A.- Londrina/PR;Somente nacional
UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP;Com presença internacional
Binova Agro Industrial Ltda;Somente nacional
Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.;Com presença internacional
Syncrom Assessoria e Comércio de Produtos Agropecuários  Ltda.;Com presença internacional
Avgust Crop Protection Importação e Exportação Ltda.;Com presença internacional
Basf Agricultural Solutions Brasil Ltda  SãoPaulo/SP;Com presença internacional
Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE;Somente nacional
Cropchem Ltda - Porto Alegre;Com presença internacional
Prentiss Química Ltda. - Campo Largo/PR;Com presença internacional
Mitsui & Co (Brasil) S.A.;Com presença internacional
Albaugh Agro Brasil Ltda.- São Paulo;Com presença internacional
Iharabras S.A. Indústria Químicas - Sorocaba;Somente nacional
Oxon Brasil Defensivos Agrícolas Ltda.;Com presença internacional
Agroallianz S.A;Com presença internacional
CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);Com presença internacional
ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba;Com presença internacional
Agribiol  Biológicos Agrícolas Ltda;Somente nacional
Bionat Soluções Biologicas Ltda;Somente nacional
Agrobeats Defensivos Agrícolas Ltda;Com presença internacional
Ameribrás Indústria e Comércio Ltda.;Com presença internacional
Coromandel América S.A;Com presença internacional
GSP Agroquímica do Brasil Ltda - Porto Alegra/RS;Com presença internacional
Ballagro Agro Tecnologia Ltda. - Bom Jesus dos Perdões/SP;Somente nacional
Proventis Lifescience Defensivos Agrícolas Ltda;Com presença internacional
Ouro Fino Química S.A. - Uberaba;Com presença internacional
Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;Com presença internacional
Basf S.A.  São Paulo;Com presença internacional
AgroFresh Brasil Ltda. - São Paulo/SP;Com presença internacional
Bayer S.A. - São Paulo/ SP;Com presença internacional
FMC Química do Brasil Ltda. - Campinas/SP;Com presença internacional
Massen Produtos Biologicos S.A. - Indaiatuba/SP;Somente nacional
ISK Biosciences do Brasil Defensivos Agricolas Ltda;Com presença internacional
Genica Inovação Biotecnologica S.A.. - Planta 2/Piracicaba/SP;Somente nacional
Gulf Oil do Brasil Ltda - Iperó/SP;Somente nacional
Bio Controle - Métodos de Controle de Pragas Ltda.;Com presença internacional
Quimetal Produtos Quimicos do Brasil Ltda.;Somente nacional
RL Controle Biologico Ltda - EPP;Somente nacional
Vittia S.A. - São Joaquim da Barra 01;Somente nacional
Ophicina Organica Fertilizantes - Atibaia/SP;Com presença internacional
NGC Agrosciences Brasil Ltda - Botucatu/SP;Com presença internacional
Pilarquim Br Comercial Ltda.- São Paulo;Com presença internacional
Nave Bio Science Ltda;Somente nacional
